model,preprocess,auc,ic_mean,icir,rankic_mean,rankicir,top1pct_ret,top5pct_ret,fit_predict_sec
Ridge,raw,0.5546858310171672,0.03622212647529449,0.29084536362288743,0.04397163462856238,0.30016432962778594,0.005718726300461253,0.005898400540724611,0.37
Ridge,zscore,0.5547943092320385,0.036232766432722295,0.2910522117121283,0.04395214864412069,0.300141512776003,0.005727404513242548,0.0059133413225767525,6.26
Ridge,standard,0.5491170885612425,0.031230508936948276,0.27908973834991124,0.03861596272352797,0.2797111729051315,0.005336705596596508,0.0055213917493212045,0.36
LightGBM-shallow-reg,raw,0.5358317241305651,0.05821645474557551,0.5186664845151348,0.04861670647846281,0.32972740538256884,0.01420604072432414,0.0076562436213520055,42.22
LightGBM-shallow-reg,zscore,0.5368976995709577,0.06060906583599325,0.550719441168923,0.049827582415115874,0.34654140617187446,0.015423978575619886,0.0076246419659869065,41.9
LightGBM-shallow-reg,standard,0.5383149612358774,0.059452062148324256,0.5392602128130037,0.04823256036415824,0.3371117711093311,0.014288488530152386,0.0075934264179912505,43.45
FT-Transformer-reg,raw,0.5336486306235155,0.033998201375989745,0.27545335865277737,0.028531695224082613,0.18388754915407501,0.012644775752562764,0.006329974920369672,603.32
FT-Transformer-reg,zscore,0.5116442203305479,0.028078745371170076,0.2237337492293524,0.02220061696477964,0.139181361499223,0.008922329443164102,0.005485539692381001,510.56
FT-Transformer-reg,standard,0.5247610895198929,0.0316336641264183,0.244492127731902,0.03077600219553163,0.19415953853391163,0.008511803917782277,0.005976355680077869,508.33
