,0
ret_1d,0.0
ret_3d,-0.0013840831
rev_ret_2d,-0.0010717809
rev_ret_3d_minus_1d,-0.0010928572
rev_zscore_1d,0.013185909
rev_mkt_excess_1d,-0.0016257203
