label,rankicir_binary,rankicir_reg,sharpe_binary,sharpe_reg
Linear,0.2408239652451035,0.300141512776003,0.8562204320544772,0.8389543566918759
LGBM-std,0.060118225736938,0.3172643330736984,0.3921278718612033,0.4710185943160735
LGBM-shallow,0.0430568779024414,0.3296124257411061,0.6391180954859409,0.6719710942744143
LGBM-cons,0.0403466989628426,0.3250973380193204,0.3518560481543488,0.4266153137526505
XGBoost,0.0613114620807213,0.3024975848176395,0.5769698507395172,0.695347581099986
CatBoost,0.0567938417990848,0.3763163537997183,0.7098149784952642,0.656164234610593
RandomForest,-0.0119274705988135,0.2952296263917511,0.635377050497352,0.6835714382048576
TabNet,-0.0372316251187884,-0.2986572569895774,-0.4649959566130157,1.4249356772323185
FT-Transformer,-0.0286429702517207,0.1941595385339116,0.024818633091342,0.5327551032737291
ALSTM,-0.006937230429942,0.1774796374734872,0.3116804074999655,0.5110752959588057
TCN,-0.0012199894035553,0.2017847147349396,0.5442115865511613,0.9275267878830488
