metric,value
observed_corr,0.3064935064935065
observed_srd,0.6935064935064935
n_perm,10000.0
p_emp,0.9092
null_mean,0.9967515584415584
null_std,0.2258485940816527
null_max,1.6766233766233767
null_p95,1.372792207792207
null_p99,1.512987012987013
