config,track,rankicir,sharpe,maxdd,avg_position
D1d (Anomaly valve = full Alpha) [proxy],proxy,0.742,1.805,-0.3352,1.0
D2c (no scaling) [proxy],proxy,0.7505253102318763,1.8094287076014652,-0.33525162537859543,1.0
D2c + position×0.5 on anomaly [proxy],proxy,0.7505253102318763,1.3826471860303613,-0.35668307146181866,0.956343792633015
D2c (no scaling) [real ret_1d],real,0.7505253102318763,0.20725930261897516,-0.4981253354001757,1.0
D2c + position×0.5 on anomaly [real ret_1d],real,0.7505253102318763,-0.08255173605498149,-0.5424771641149531,0.956343792633015
