config,rankicir,sharpe,maxdd,delta_bp_vs_d2f
Config 4 D2f full (Alpha+Bear+Reversal+γ_adapt),0.8094205895571847,1.674908294960762,-0.3382335785498235,0.0
"Config 2 D2c (Alpha+Bear+α_adapt, no Reversal)",0.7505253102318763,1.8094287076014655,-0.33525162537859543,-588.9527932530835
"Config 1 (Alpha + 0.40·Reversal, no Bear, no γ_adapt)",0.6514724691414638,1.5356630587167488,-0.3425526159451542,-1579.4812041572081
"Config 3 (Alpha + γ_adapt·Reversal, no Bear)",0.6581621147335687,1.4610726411928432,-0.34282639405857906,-1512.5847482361598
"Trend single (Alpha alone, ref)",0.5978984996788858,1.6939746649926015,-0.3419584246216958,-2115.220898782989
