name,observed,bootstrap_mean,ci_low,ci_high,p_value,n_boot,n_days
D2f - Trend,0.20063440102288732,0.20001841716182195,0.15594506801314983,0.2442117435246231,0.0,1000,733
D2f - D2c,0.04800759109693142,0.04775722265372904,0.01934894835578519,0.08004226164440324,0.0,1000,733
