config,rankicir,sharpe,maxdd,track,delta_bp_vs_d2f,param
Config 4 D2f full (Alpha+Bear+Reversal+γ_adapt),0.8094205895571847,1.674908294960762,-0.3382335785498235,ref,0.0,baseline
D4a sector_threshold=0.20,0.8094205895571847,1.674908294960762,-0.3382335785498235,A,0.0,sector_th=0.20
D4a sector_threshold=0.25,0.8094205895571847,1.674908294960762,-0.3382335785498235,A,0.0,sector_th=0.25
D4a sector_threshold=0.30,0.8094205895571847,1.674908294960762,-0.3382335785498235,A,0.0,sector_th=0.30
D4a sector_threshold=0.35,0.8094205895571847,1.674908294960762,-0.3382335785498235,A,0.0,sector_th=0.35
D4b consistency theta=0.3,0.8093586536123228,1.6822365648385937,-0.342658439501381,B,-0.6193594486181286,theta=0.3
D4b consistency theta=0.5,0.808613674903177,1.6742350562063895,-0.34331869275427396,B,-8.069146540076177,theta=0.5
D4b consistency theta=1.0,0.8070956823292016,1.6397564951241865,-0.346189964689661,B,-23.249072279830642,theta=1.0
D4ab sector_th=0.20 + theta=0.3,0.8093586536123228,1.6822365648385937,-0.342658439501381,A+B,-0.6193594486181286,sector_th=0.20 | theta=0.3
