config,rankicir,sharpe,maxdd,gamma,delta_bp_vs_d2c
D2f gamma=0.30,0.7951634922044458,1.7329022570448722,-0.3375649261115995,0.3,446.38181972569527
D2f gamma=0.35,0.7975180673861704,1.7016266976618748,-0.3394616970663118,0.35,469.9275715429407
D2f gamma=0.40,0.7985329021430219,1.6812230794372764,-0.3396148047634072,0.4,480.0759191114556
D2f gamma=0.50,0.796912654325834,1.6345716003332622,-0.3426973788119839,0.5,463.8734409395773
D2f gamma=0.60,0.7913740509007046,1.5811336219226286,-0.3433010008302252,0.6,408.48740668828265
