target,vs_r_future_5,vs_max_drawdown,vs_path_vol,vs_disappoint
max_drawdown_5d,-0.7407258975748072,1.0,0.422821518723954,0.3322558859409682
path_vol_5d,0.167317640081798,0.422821518723954,1.0,-0.15398516038540272
disappointment,-0.5037340998467914,0.3322558859409682,-0.15398516038540272,1.0
