config,rankicir,sharpe,maxdd,delta_bp_vs_d1c
D1c baseline (adaptive alpha),0.7437717088500838,1.82947726994085,-0.332802845456568,0.0
D2 lambda=0.5 (error-weighted Bear),0.7462169318554537,1.8285821056372704,-0.33358448819927244,24.452230053698678
D2 lambda=1.0 (error-weighted Bear),0.7468356887094147,1.8173726058032866,-0.3342480863668962,30.639798593309344
D2 lambda=2.0 (error-weighted Bear),0.7479534552162128,1.8334128803061829,-0.3337680565881187,41.81746366129002
D3 disagreement-conditioned (thresh=0.5),0.5280149426160288,1.0980052407924703,-0.38481882252306476,-2157.56766234055
D4 gamma=0.1 (G2 residual correction),0.7365350207750946,1.803718866579443,-0.337175260119457,-72.36688074989229
D4 gamma=0.2 (G2 residual correction),0.7207014181198321,1.7874936051583323,-0.3403274240560833,-230.70290730251685
D4 gamma=0.3 (G2 residual correction),0.691698322245228,1.7665751252316104,-0.3422275460272708,-520.7338660485583
D4 gamma=0.5 (G2 residual correction),0.5851626349358814,1.6424201506530005,-0.35173348003745886,-1586.0907391420242
