,2023,2024,2025,2026
ret_1d,0.0032189493378489923,0.004317602907947061,0.0035913935738625512,0.0035297006460185544
ret_3d,0.0016214877825254544,0.0033739339257156955,0.0017463603745318257,0.0011625925584547816
ret_5d,0.0003216564656752262,0.001509085891615342,0.00048691907739700736,0.0002565086456157878
ret_10d,0.002146017151235015,0.0030951197607922425,0.002422705932370571,0.002452868138682265
momentum_change,0.0008565203048465323,0.0013263643482586272,0.0009069294786463072,0.0010006652659972676
ret_1d_minus_5d,0.006256412884552317,0.00847937323651927,0.006760485218651078,0.004272882677113354
ret_3d_minus_10d,0.0024408692120330647,0.0027497394539135636,0.00164504297157236,0.0010271474187660775
ret_1d_minus_3d,0.0032666694878544533,0.0036890111105451623,0.0035052559772945258,0.004462974022987658
roc_20,0.005134682693923966,0.004376616236008097,0.005410992742802042,0.005940132665857927
ema30_slope_vr,0.001885886904982721,0.004154213798148221,0.002707551268224043,0.002877540920274015
ema30_slope,0.0015285442005066913,0.0030287292492419903,0.0020534117883834616,0.000756294904668177
ma30_slope,0.002743610863118503,0.0042910147486363475,0.0018645474591067969,0.0004921838742108557
ema60_slope,0.0016942470673706588,0.00624996510045616,0.002852972129400086,0.001598251198743443
ema90_slope,0.0009908516618040535,0.0020136333645286732,0.0010250215116967617,0.0006200425511820834
ema180_slope,0.0017108374177141807,0.0009392079050840345,0.002201080239898514,0.002530110496322639
ma60_slope,0.004088595342999027,0.0034233189148138747,0.00398494639711746,0.003989942005660404
ma180_slope,0.0030076865199921803,0.001436140849930321,0.004761804669645666,0.00527469699321031
bias_60,0.0048429879996834705,0.008194058009511786,0.0049885447316935574,0.0029994626908996626
bias_60_vr,0.0018862825231458949,0.0029226106527051,0.0019169738711228685,0.0019109916202387281
board_rank_20d_pct,0.0007526612120178626,0.0012059815100176903,0.0006828574044783358,0.0005514686734405063
board_rs_20d,0.0007547164968628008,0.0010223180155643633,0.0010735490092843147,0.0008146535217119773
macro_regime_3,0.018456209835088323,0.023171993899460695,0.004628086195330002,0.0075249103336485134
trend60,0.03380783438230347,0.08964667558553248,0.039638740541618554,0.028955273019996515
breadth_mom,0.017794779503469603,0.03532880271275717,0.020685217518717085,0.013818013870880708
micro_sentiment_ema5,0.03228805956754851,0.05092379646995818,0.018492456125428474,0.019834407437638646
dispersion,0.023403310363355977,0.01866646087221417,0.019503938120618017,0.02349540169091907
vol20,0.04780271932389905,0.07660525619130629,0.05374589954377765,0.012737655167099373
high20_ratio,0.014975168824525154,0.019406039955549757,0.018825782750042704,0.013303740813088273
