feature,global_importance,top1pct_importance,delta
vol20,0.05927769129253112,0.06449624502881264,0.005218553736281523
trend60,0.05482456468582817,0.05407982171048484,-0.0007447429753433335
micro_sentiment_ema5,0.03425152600098411,0.03424996929443541,-1.55670654870127e-06
breadth_mom,0.024388519717754728,0.02402637185123904,-0.0003621478665156892
dispersion,0.020342280635740458,0.021091049251961275,0.0007487686162208178
high20_ratio,0.017907914580868663,0.017403162015470798,-0.0005047525653978646
macro_regime_3,0.015292797592683129,0.016626086234594144,0.0013332886419110158
ret_1d_minus_5d,0.0072134131821360685,0.013000772879452244,0.005787359697316176
bias_60,0.0060771298176672305,0.009896927863098303,0.003819798045431072
roc_20,0.004984994677377173,0.004207144018907403,-0.0007778506584697701
ma60_slope,0.003813320127883123,0.004122797984145855,0.000309477856262732
ret_1d,0.0036927035145811415,0.010398737544293888,0.006706034029712746
ema60_slope,0.0035961153718199667,0.005691535797674709,0.002095420425854742
ret_1d_minus_3d,0.0035179165998913994,0.005699630054950583,0.0021817134550591835
ma180_slope,0.0030860340397273786,0.0043007591489073885,0.00121472510918001
ma30_slope,0.0029520215757929706,0.0052483205527952765,0.002296298977002306
ema30_slope_vr,0.0029005635732866067,0.0036320909754598554,0.0007315274021732487
ret_10d,0.002572454617848278,0.0038504650527339166,0.0012780104348856388
ret_3d_minus_10d,0.002273478731452659,0.0034610471831542297,0.0011875684517015706
ema30_slope,0.00225565404178201,0.008105817842422107,0.005850163800640098
ret_3d,0.0022369618965914283,0.003472020849758188,0.0012350589531667597
bias_60_vr,0.002227326148320298,0.0027909847647592276,0.0005636586164389297
ema180_slope,0.0016079435609146898,0.002109403105083905,0.000501459544169215
ema90_slope,0.00134848887384105,0.0019861724521223166,0.0006376835782812666
momentum_change,0.0010141905821127648,0.0007662458147217224,-0.00024794476739104236
board_rs_20d,0.0009586321382021836,0.001785741796668754,0.0008271096584665704
board_rank_20d_pct,0.0008974691288965725,0.0015504933763684971,0.0006530242474719247
ret_5d,0.0007848751635653221,0.0009788056703692483,0.00019393050680392623
