feature,mean_abs_shap,pos_mean_shap,neg_mean_shap
vol20,0.05927769129253112,0.03344052689474592,0.025837164397784954
trend60,0.05482456468582817,0.01995133797783931,0.03487322670798905
micro_sentiment_ema5,0.03425152600098411,0.021056156271366852,0.013195369729617372
breadth_mom,0.024388519717754728,0.01244801199596943,0.011940507721785315
dispersion,0.020342280635740458,0.0066305840344680934,0.01371169660127239
high20_ratio,0.017907914580868663,0.007924886278067674,0.00998302830280108
macro_regime_3,0.015292797592683129,0.005742697254614911,0.009550100338068314
ret_1d_minus_5d,0.0072134131821360685,0.003288411289295992,0.003925001892840059
bias_60,0.0060771298176672305,0.002915106508292284,0.0031620233093749787
roc_20,0.004984994677377173,0.002048569109200736,0.002936425568176435
ma60_slope,0.003813320127883123,0.002174690233045405,0.0016386298948377323
ret_1d,0.0036927035145811415,0.0019374240891629388,0.0017552794254182085
ema60_slope,0.0035961153718199667,0.0014873454726309228,0.0021087698991890317
ret_1d_minus_3d,0.0035179165998913994,0.0016907025454073758,0.0018272140544840375
ma180_slope,0.0030860340397273786,0.002051794197527539,0.001034239842199846
ma30_slope,0.0029520215757929706,0.0014275165789518428,0.0015245049968410855
ema30_slope_vr,0.0029005635732866067,0.0006459185192031801,0.002254645054083422
ret_10d,0.002572454617848278,0.0013553924308603216,0.0012170621869879638
ret_3d_minus_10d,0.002273478731452659,0.0011769154695060453,0.0010965632619466105
ema30_slope,0.00225565404178201,0.0014952855098806649,0.0007603685319013429
ret_3d,0.0022369618965914283,0.0009265960636273006,0.001310365832964128
bias_60_vr,0.002227326148320298,0.0009867761118500463,0.0012405500364702474
ema180_slope,0.0016079435609146898,0.0009074937400717092,0.0007004498208429755
ema90_slope,0.00134848887384105,0.0005377467617083748,0.0008107421121326746
momentum_change,0.0010141905821127648,0.00046582186017081326,0.0005483687219419496
board_rs_20d,0.0009586321382021836,0.00051311178588918,0.0004455203523130072
board_rank_20d_pct,0.0008974691288965725,0.00037821879829453116,0.0005192503306020472
ret_5d,0.0007848751635653221,0.00033750755134595583,0.0004473676122193644
