config,rankicir,sharpe,maxdd,annual_return,track
D2f baseline (no exposure),0.8094205895571847,1.6749082949607614,-0.3382335785498235,0.2349266064135935,ref
D2f + F3-v2 (canonical),0.8094205895571847,1.8900581442419089,-0.2726636731036811,0.21213782640772608,ref
A) wave-triggered F3 (wave<-0.3) 19 trigger days,0.8094205895571847,1.6354942697639214,-0.31843259781849853,0.2236042689487443,A
B) wave-aided alpha (+F3-v2 exposure),0.8100114889044476,1.9031421280626344,-0.2727540426759065,0.2131188562602712,B
C) wave replaces Regime (+F3-v2 exposure),0.7900228099258955,1.943108340372139,-0.2728504954980092,0.2158130290179494,C
