year,month,d2f_ic,trend_ic,gap
2023,1,0.055649073150093625,-0.016041338066283106,0.07169041121637673
2023,2,0.13811364009153457,0.09922613519775635,0.03888750489377822
2023,3,0.021314357658859993,0.028205717755152827,-0.006891360096292834
2023,4,0.06682275801694795,0.06069372535758686,0.006129032659361093
2023,5,0.06968302250638204,0.04055113058834794,0.029131891918034107
2023,6,0.06307586701554957,0.02214512070986966,0.04093074630567991
2023,7,0.13834569878040243,0.07118460362139033,0.0671610951590121
2023,8,0.07829339207868892,0.03288849735849415,0.04540489472019477
2023,9,0.052151162469487734,0.03118285543145661,0.020968307038031125
2023,10,0.05092829211710061,0.03788477557101834,0.013043516546082268
2023,11,0.10328288593647693,0.0901909061806811,0.013091979755795832
2023,12,0.09303186817030294,0.03920606167666215,0.05382580649364079
2024,1,-0.020542595824759917,-0.04519237895312653,0.02464978312836661
2024,2,0.042321590387167346,0.043507990839443594,-0.0011864004522762484
2024,3,0.1337944449366276,0.1285040511037718,0.005290393832855789
2024,4,0.13631731017415705,0.12543543812736255,0.0108818720467945
2024,5,0.0860630826599566,0.041563522751827627,0.044499559908128976
2024,6,0.08138401175867223,0.06795177891441702,0.01343223284425521
2024,7,0.10710550852198651,0.06858583748357998,0.03851967103840653
2024,8,0.07518091317426247,0.02336388244897637,0.051817030725286095
2024,9,0.07431682940474628,0.0456055864668199,0.02871124293792638
2024,10,0.11666115480553511,0.125807404445361,-0.009146249639825896
2024,11,0.15783740452663908,0.14539413704459325,0.012443267482045828
2024,12,0.157324640253312,0.13865162636832826,0.01867301388498374
2025,1,0.09407830220608811,0.061631804035891094,0.03244649817019701
2025,2,0.06594974831374364,0.03273131651714148,0.033218431796602166
2025,3,0.14077968707351665,0.08864931385602687,0.052130373217489784
2025,4,0.12570423061363947,0.10555774073178754,0.02014648988185193
2025,5,0.09087436792977266,0.0741039160529537,0.016770451876818956
2025,6,0.07440766119591563,0.029647429112215674,0.04476023208369996
2025,7,0.0642693217014069,0.035155432451406086,0.02911388925000081
2025,8,0.05612748684014694,0.031765083374504684,0.02436240346564226
2025,9,0.03977121102472389,0.03862168726210279,0.0011495237626210977
2025,10,0.129020365812031,0.10250302993300464,0.026517335879026355
2025,11,0.10574460602501143,0.08740892768085504,0.018335678344156392
2025,12,0.011982279204226598,-0.001949197660926107,0.013931476865152705
2026,1,0.010511196044533225,0.03299392792837213,-0.022482731883838904
