holding_days,d2c_rankicir,d2f_rankicir,delta_ric_bp,d2c_sharpe,d2f_sharpe,delta_sharpe,d2c_maxdd,d2f_maxdd,d2c_ann_ret,d2f_ann_ret
2,0.5902033667835577,0.6420085305578411,518.0516377428346,0.33929024079618725,0.6381786052471672,0.29888836445097994,-0.4987417983653255,-0.48144092086074775,0.06840317951443248,0.13213442150697877
3,0.6611525357774235,0.7081662126017733,470.1367682434976,0.9666119863920073,1.1813013233344951,0.21468933694248782,-0.4349125046459922,-0.427493770667015,0.1625419633153429,0.20352749280195123
5,0.7499888649332643,0.8088404374976054,588.5157256434104,1.7589932688294927,1.82132184376023,0.0623285749307374,-0.3673387593142923,-0.3649561251038136,0.23791880447105318,0.25214773360820075
