split,n_days,mean_rankic,std_rankic,rankicir
train_2016-2021_in_sample,1271,0.05420052820448031,0.09442719798604658,0.5739927622599738
val_2022_OOF,242,0.05822763207316616,0.09229974702837836,0.6308536474673497
test_2023-2026_OOF,733,0.058896851061299216,0.09857370013818031,0.5974905170318024
