window_end_date,d2f_rolling_ricir,trend_rolling_ricir
2023-05-19,0.9320961403130412,0.6734757152572122
2023-05-22,0.9190282101971035,0.6863135645060101
2023-05-23,0.909084535898843,0.684500505354844
2023-05-24,0.9053547238383748,0.7080760591981448
2023-05-25,0.909171434483829,0.7179961572487659
2023-05-26,0.9147570821825166,0.7382506353190589
2023-05-29,0.9143778231881708,0.7558189086955741
2023-05-30,0.9146077280107531,0.787304433874256
2023-05-31,0.9111817910404034,0.8049213606953871
2023-06-01,0.9140644881172849,0.8348989025004008
2023-06-02,0.9091610099250191,0.8559177152464282
2023-06-05,0.883324981386447,0.8586083151727645
2023-06-06,0.8496762990886199,0.8526168879790863
2023-06-07,0.8189704481477549,0.8291132512856733
2023-06-08,0.8268825884308044,0.830896082676507
2023-06-09,0.8072667795707896,0.8100413668873844
2023-06-12,0.7600661333570262,0.7649918530865581
2023-06-13,0.7263884961179349,0.7320829570860397
2023-06-14,0.730117361512343,0.7273693206543075
2023-06-15,0.7166627501691851,0.7081662704929919
2023-06-16,0.7224579009584318,0.7173047057945998
2023-06-19,0.7217430529058001,0.7233435780526986
2023-06-20,0.7301268381873897,0.7276074540314985
2023-06-21,0.7288092730426943,0.7232032606961543
2023-06-26,0.7281817237385191,0.7196399216479001
2023-06-27,0.7215548591078108,0.7017188362195094
2023-06-28,0.7181351434647046,0.6930914943175415
2023-06-29,0.7227398463080488,0.6873632956359538
2023-06-30,0.7232961870423729,0.6857714439965501
2023-07-03,0.7255731390349784,0.6830971918291217
2023-07-04,0.7244839954198407,0.6753579832676362
2023-07-05,0.718319162458938,0.6661814174234942
2023-07-06,0.7203171876138915,0.6556263025640104
2023-07-07,0.718308701254802,0.648053180004996
2023-07-10,0.7153605504183458,0.6444992103938567
2023-07-11,0.7166120260005784,0.6525393376955096
2023-07-12,0.7187864779125273,0.6590228015708426
2023-07-13,0.7191076901798118,0.6604281635831087
2023-07-14,0.716486946452585,0.6610724720188634
2023-07-17,0.7237569871119887,0.6640011723934172
2023-07-18,0.7307157800337283,0.6639303223315745
2023-07-19,0.7447205751468681,0.6665960026507014
2023-07-20,0.7450295209556071,0.6631077491344322
2023-07-21,0.7489549818275174,0.6511111304747298
2023-07-24,0.7531334704740997,0.6483151996597029
2023-07-25,0.7564186639313435,0.6484131081069986
2023-07-26,0.7538686877045264,0.6488924188569589
2023-07-27,0.7596562982593649,0.6533454913576915
2023-07-28,0.7531195402789026,0.6564024702116571
2023-07-31,0.7573062217385111,0.6642993031401437
2023-08-01,0.7664941064639558,0.6818302283867373
2023-08-02,0.7679975324871514,0.6883431494564827
2023-08-03,0.7991558296293808,0.7166908520077139
2023-08-04,0.8149320116983306,0.7424539440802953
2023-08-07,0.830171068490503,0.7598555473972696
2023-08-08,0.8551341440551826,0.7902538932702069
2023-08-09,0.8965099560727884,0.8300976890426612
2023-08-10,0.9309170321282163,0.8469333695037327
2023-08-11,0.9804277350701645,0.8837462345291691
2023-08-14,1.0212132872141901,0.8874588232749752
2023-08-15,1.0368377252429373,0.8882766507898728
2023-08-16,1.0586668448729672,0.8863009471554131
2023-08-17,1.0581205858451415,0.8839359866500084
2023-08-18,1.0628988200074756,0.8847051894726602
2023-08-21,1.0636874243468377,0.8793025909037604
2023-08-22,1.0649831762479143,0.8742606032015905
2023-08-23,1.0703809851173598,0.8774058466913106
2023-08-24,1.0962687103241529,0.8943467216431402
2023-08-25,1.1054755865287653,0.9070849882887778
2023-08-28,1.124309898610925,0.9224507101202146
2023-08-29,1.1343446457877988,0.8814429868387355
2023-08-30,1.1356013753506282,0.8447558159334176
2023-08-31,1.1368805631383485,0.8320122882627373
2023-09-01,1.1227711422434479,0.8080714686925614
2023-09-04,1.0825444047174178,0.7480658624599615
2023-09-05,1.0656613450761767,0.7101581983094166
2023-09-06,1.0765359377480308,0.7109200167864528
2023-09-07,1.0797807990489479,0.7149957136155529
2023-09-08,1.0753519032983823,0.7256964699832468
2023-09-11,1.0770910639215494,0.725885734058062
2023-09-12,1.080671738124488,0.7281966462904496
2023-09-13,1.083295123145032,0.7292042545520948
2023-09-14,1.088049808315274,0.7315876530109352
2023-09-15,1.0877800260190174,0.7301463891506722
2023-09-18,1.0802865664544397,0.7379909614275164
2023-09-19,1.0740021070156516,0.7377808531908517
