,0
ret_1d,0.0
ret_3d,-0.00250798
rev_ret_2d,-0.0018281937
rev_ret_3d_minus_1d,-0.0017963182
rev_zscore_1d,0.01340667
rev_mkt_excess_1d,-0.0014029015
