config,track,rankicir,sharpe,maxdd,annual_return,annual_vol,delta_bp_vs_d2f_fixed
D1c (Alpha + Bear D1 + adaptive alpha),baseline,0.7437717088500838,1.82947726994085,-0.332802845456568,0.25622440773577804,0.14005334307545794,-547.6119329293805
D2c (D1c + error-informed Bear lambda=3),baseline,0.7505253102318763,1.8094287076014655,-0.33525162537859543,0.24772073082669685,0.1369054938644526,-480.0759191114556
D2f gamma_fixed=0.40,baseline,0.7985329021430219,1.681223079437276,-0.3396148047634072,0.23544099505239974,0.1400414959394945,0.0
D2f gamma_adaptive base=0.40 delta=±0.05,adaptive,0.8029350510698204,1.6861096161944167,-0.3375986873778126,0.2362135335888514,0.14009381793455997,44.02148926798577
D2f gamma_adaptive base=0.40 delta=±0.10,adaptive,0.806583735605663,1.6703642285690863,-0.33787699164784357,0.23436546245636924,0.14030799896687077,80.50833462641127
D2f gamma_adaptive base=0.40 delta=±0.15,adaptive,0.8094205895571847,1.674908294960762,-0.3382335785498235,0.23492660641359359,0.14026236965952646,108.87687414162795
