config,rankicir,sharpe,maxdd
Trend pure (Alpha),0.5978984996788858,1.6939746649926015,-0.3419584246216958
|bias_60| rule Bear (α=0.2),0.6325341670189599,1.7498234817859224,-0.3333268017555122
Historical MaxDD 60d rule (α=0.5),0.4835596421548231,1.833329500993535,-0.28090840627797253
Trained Bear D1 (α=0.5),0.7407736628967975,1.8023189446712509,-0.3352114088604571
