config,function,rankicir,sharpe,maxdd,annual_return,avg_turnover,delta_sr_vs_baseline
D2f baseline (equal weight),ref,0.8094205895571847,1.6785688023286296,-0.33825171371091434,0.2354318439382909,0.687919165789687,0.0
F1 — limit-up filter (equal weight),F1,0.8094205895571847,1.6479932455192514,-0.34045218440055747,0.23026903570226753,0.6874659661645399,-0.03057555680937818
F2 — softmax tau=0.5,F2,0.8094205895571847,2.4381502238481034,-0.47219003425000217,0.7092969592064807,0.850761828239385,0.7595814215194738
F2 — softmax tau=1.0,F2,0.8094205895571847,1.9973438565851676,-0.5502034139492255,0.7167235346981993,0.9149071562120495,0.31877505425653796
F2 — softmax tau=2.0,F2,0.8094205895571847,1.8640911247209655,-0.533517313918324,0.7017733175851245,0.9502296356382011,0.1855223223923359
F3-v1 — circuit breaker (crash only),F3,0.8094205895571847,1.6392477500827587,-0.3184512756090785,0.22410950647344172,0.687919165789687,-0.0393210522458709
F3-v2 — circuit breaker (crash + bear regime),F3,0.8094205895571847,1.8940999941200816,-0.2726816000900578,0.21258213375090476,0.687919165789687,0.21553119179145197
D4_final — F1 + F2(tau=0.5) + F3(v2),combined,0.8094205895571847,1.6585364167674261,-0.32843795947430077,0.2150248220962821,0.7404432688658735,-0.02003238556120346
